"","Strain Name","Virus Species","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Year","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"812","IND/2016/DEL/11","Chikungunya virus","MH124583","11746","-N/A-","42370",2016-01-01,"Human","Homo sapiens","India","genomic RNA",11746,0.978833333333333,">90%","Asia","India+"
"813","DL2","Chikungunya virus","MK370032","11803","-N/A-","42370",2016-01-01,"Human","Homo sapiens","India","genomic RNA",11803,0.983583333333333,">90%","Asia","India+"
"814","MH_Pune33","Chikungunya virus","MK370033","11812","-N/A-","42370",2016-01-01,"Human","Homo sapiens","India","genomic RNA",11812,0.984333333333333,">90%","Asia","India+"
"815","1572","Chikungunya virus","MW321606","11805","-N/A-","42370",2016-01-01,"Human","Homo sapiens","India","genomic RNA",11805,0.98375,">90%","Asia","India+"
"816","IRSHA 1474","Chikungunya virus","MW574902","11811","-N/A-","42370",2016-01-01,"Human","Homo sapiens","India","genomic RNA",11811,0.98425,">90%","Asia","India+"
"817","CHIKV/Homo sapiens/NIC/14-16/2015","Chikungunya virus","KY703917","11307","-N/A-","01/08/2016",2016-01-08,"Human","Homo sapiens; sex: male; age: 1 month","Nicaragua","genomic RNA",11307,0.94225,">90%","South America","Rest Central America"
"818","FV02","Chikungunya virus","MK993757","11719","-N/A-","01/13/2016",2016-01-13,"Human","Homo sapiens","Brazil","genomic RNA",11719,0.976583333333333,">90%","South America","Brazil"
"819","FV03","Chikungunya virus","MK993755","11534","-N/A-","01/14/2016",2016-01-14,"Human","Homo sapiens","Brazil","genomic RNA",11534,0.961166666666667,">90%","South America","Brazil"
"820","FV01","Chikungunya virus","MK993756","11704","-N/A-","01/14/2016",2016-01-14,"Human","Homo sapiens","Brazil","genomic RNA",11704,0.975333333333333,">90%","South America","Brazil"
"821","PY02","Chikungunya virus","MT038393","11149","-N/A-","01/20/2016",2016-01-20,"Human","Homo sapiens","Paraguay","genomic RNA",11149,0.929083333333333,">90%","South America","Rest South America"
"822","PY03","Chikungunya virus","MT038397","11149","-N/A-","01/21/2016",2016-01-21,"Human","Homo sapiens","Paraguay","genomic RNA",11149,0.929083333333333,">90%","South America","Rest South America"
"823","KLF_3200","Chikungunya virus","MT526807","11797","-N/A-","01/26/2016",2016-01-26,"Human","Homo sapiens","Kenya","genomic RNA",11797,0.983083333333333,">90%","Africa","Eastern Africa"
"824","CHIKV/Human/Brazil/2016/AMA293","Chikungunya virus","MK121894","9655","-N/A-","01/31/2016",2016-01-31,"Human","Homo sapiens","Brazil","genomic RNA",9655,0.804583333333333,"50-90%","South America","Brazil"
"825","2C","Chikungunya virus","MH000700","11339","-N/A-","02/04/2016",2016-02-04,"Human","Homo sapiens","Brazil","genomic RNA",11339,0.944916666666667,">90%","South America","Brazil"
"826","Homo sapiens/COL/UF-1/2016","Chikungunya virus","KX496989","12037","-N/A-","02/09/2016",2016-02-09,"Human","Homo sapiens","Colombia","viral cRNA",12037,1.00308333333333,">90%","South America","Rest South America"
"827","4C","Chikungunya virus","MH000702","11455","-N/A-","02/15/2016",2016-02-15,"Human","Homo sapiens","Brazil","genomic RNA",11455,0.954583333333333,">90%","South America","Brazil"
"828","5C","Chikungunya virus","MH000703","11362","-N/A-","02/15/2016",2016-02-15,"Human","Homo sapiens","Brazil","genomic RNA",11362,0.946833333333333,">90%","South America","Brazil"
"829","PY06","Chikungunya virus","MT038395","11149","-N/A-","02/16/2016",2016-02-16,"Human","Homo sapiens","Paraguay","genomic RNA",11149,0.929083333333333,">90%","South America","Rest South America"
"830","10C","Chikungunya virus","MH000706","11301","-N/A-","02/18/2016",2016-02-18,"Human","Homo sapiens","Brazil","genomic RNA",11301,0.94175,">90%","South America","Brazil"
"831","RJ39","Chikungunya virus","MK244635","10534","-N/A-","02/19/2016",2016-02-19,"Human","Homo sapiens","Brazil","genomic DNA",10534,0.877833333333333,"50-90%","South America","Brazil"
"832","6C","Chikungunya virus","MH000704","11362","-N/A-","02/19/2016",2016-02-19,"Human","Homo sapiens","Brazil","genomic RNA",11362,0.946833333333333,">90%","South America","Brazil"
"833","PY07","Chikungunya virus","MT038394","11149","-N/A-","02/19/2016",2016-02-19,"Human","Homo sapiens","Paraguay","genomic RNA",11149,0.929083333333333,">90%","South America","Rest South America"
"834","C302F/2016/BR","Chikungunya virus","KY055011","11813","-N/A-","02/20/2016",2016-02-20,"Mosquito","Aedes aegypti","Brazil","genomic RNA",11813,0.984416666666667,">90%","South America","Brazil"
"835","3C","Chikungunya virus","MH000701","11361","-N/A-","02/22/2016",2016-02-22,"Human","Homo sapiens","Brazil","genomic RNA",11361,0.94675,">90%","South America","Brazil"
"836","PY08","Chikungunya virus","MT038396","11149","-N/A-","02/22/2016",2016-02-22,"Human","Homo sapiens","Paraguay","genomic RNA",11149,0.929083333333333,">90%","South America","Rest South America"
"837","7C","Chikungunya virus","MH000705","11362","-N/A-","02/25/2016",2016-02-25,"Human","Homo sapiens","Brazil","genomic RNA",11362,0.946833333333333,">90%","South America","Brazil"
"838","CHIKV/Hu/Cuba/NIID25/2016","Chikungunya virus","LC259092","12004","-N/A-","02/28/2016",2016-02-28,"Human","Homo sapiens","Cuba","genomic RNA",12004,1.00033333333333,">90%","South America","Rest Central America"
"839","BR33","Chikungunya virus","KX228391","11601","-N/A-","03/03/2016",2016-03-03,"Human","Homo sapiens","Brazil","genomic RNA",11601,0.96675,">90%","South America","Brazil"
"840","Amapa_695_Brazil_2016","Chikungunya virus","OL343617","9347","-N/A-","03/11/2016",2016-03-11,"Human","Homo sapiens","Brazil","genomic RNA",9347,0.778916666666667,"50-90%","South America","Brazil"
"841","RJ-IB1","Chikungunya virus","KY124328","11523","-N/A-","03/16/2016",2016-03-16,"Human","Homo sapiens","Brazil","genomic RNA",11523,0.96025,">90%","South America","Brazil"
"842","RJ-IB5","Chikungunya virus","KY124329","11318","-N/A-","03/16/2016",2016-03-16,"Human","Homo sapiens","Brazil","genomic RNA",11318,0.943166666666667,">90%","South America","Brazil"
"843","PY09","Chikungunya virus","MT038398","11149","-N/A-","03/21/2016",2016-03-21,"Human","Homo sapiens","Paraguay","genomic RNA",11149,0.929083333333333,">90%","South America","Rest South America"
"844","CHIKV/Homo_sapiens/Brazil/2016/14","Chikungunya virus","KY704934","11050","-N/A-","03/30/2016",2016-03-30,"Human","Homo sapiens","Brazil","genomic RNA",11050,0.920833333333333,">90%","South America","Brazil"
"845","CHIKV/Homo_sapiens/Brazil/2016/6AL","Chikungunya virus","KY704933","10486","-N/A-","03/30/2016",2016-03-30,"Human","Homo sapiens","Brazil","genomic RNA",10486,0.873833333333333,"50-90%","South America","Brazil"
"846","CHIKV/Homo_sapiens/Brazil/2016/19","Chikungunya virus","KY704936","11630","-N/A-","04/01/2016",2016-04-01,"Human","Homo sapiens","Brazil","genomic RNA",11630,0.969166666666667,">90%","South America","Brazil"
"847","CHIKV/Homo_sapiens/Brazil/2016/17AL","Chikungunya virus","KY704935","11093","-N/A-","04/01/2016",2016-04-01,"Human","Homo sapiens","Brazil","genomic RNA",11093,0.924416666666667,">90%","South America","Brazil"
"848","RJ74","Chikungunya virus","MK244632","10529","-N/A-","04/05/2016",2016-04-05,"Human","Homo sapiens","Brazil","genomic DNA",10529,0.877416666666667,"50-90%","South America","Brazil"
"849","RJ111","Chikungunya virus","MK244638","10529","-N/A-","04/05/2016",2016-04-05,"Human","Homo sapiens","Brazil","genomic DNA",10529,0.877416666666667,"50-90%","South America","Brazil"
"850","WLG03/BR/RJ/2016","Chikungunya virus","OM128439","11407","-N/A-","04/06/2016",2016-04-06,"Human","Homo sapiens","Brazil","genomic RNA",11407,0.950583333333333,">90%","South America","Brazil"
"851","CHIKV/Homo_sapiens/Brazil/2016/241","Chikungunya virus","KY704952","11246","-N/A-","04/07/2016",2016-04-07,"Human","Homo sapiens","Brazil","genomic RNA",11246,0.937166666666667,">90%","South America","Brazil"
"852","CHIKV/Homo_sapiens/Brazil/2016/195","Chikungunya virus","KY704950","11112","-N/A-","04/07/2016",2016-04-07,"Human","Homo sapiens","Brazil","genomic RNA",11112,0.926,">90%","South America","Brazil"
"853","CHIKV/Homo_sapiens/Brazil/2016/194","Chikungunya virus","KY704949","11114","-N/A-","04/07/2016",2016-04-07,"Human","Homo sapiens","Brazil","genomic RNA",11114,0.926166666666667,">90%","South America","Brazil"
"854","CHIKV/Homo_sapiens/Brazil/2016/243","Chikungunya virus","KY704953","11109","-N/A-","04/09/2016",2016-04-09,"Human","Homo sapiens","Brazil","genomic RNA",11109,0.92575,">90%","South America","Brazil"
"855","CHIKV/Homo_sapiens/Brazil/2016/197","Chikungunya virus","KY704951","11054","-N/A-","04/13/2016",2016-04-13,"Human","Homo sapiens","Brazil","genomic RNA",11054,0.921166666666667,">90%","South America","Brazil"
"856","CHIKV/Homo_sapiens/Brazil/2016/182","Chikungunya virus","KY704945","11118","-N/A-","04/14/2016",2016-04-14,"Human","Homo sapiens","Brazil","genomic RNA",11118,0.9265,">90%","South America","Brazil"
"857","CHIKV/Homo_sapiens/Brazil/2016/168","Chikungunya virus","KY704941","10848","-N/A-","04/14/2016",2016-04-14,"Human","Homo sapiens","Brazil","genomic RNA",10848,0.904,">90%","South America","Brazil"
"858","CHIKV/Homo_sapiens/Brazil/2016/167","Chikungunya virus","KY704940","11310","-N/A-","04/14/2016",2016-04-14,"Human","Homo sapiens","Brazil","genomic RNA",11310,0.9425,">90%","South America","Brazil"
"859","CHIKV/Homo_sapiens/Brazil/2016/190","Chikungunya virus","KY704947","11273","-N/A-","04/15/2016",2016-04-15,"Human","Homo sapiens","Brazil","genomic RNA",11273,0.939416666666667,">90%","South America","Brazil"
"860","CHIKV/Homo_sapiens/Brazil/2016/151","Chikungunya virus","KY704937","11214","-N/A-","04/15/2016",2016-04-15,"Human","Homo sapiens","Brazil","genomic RNA",11214,0.9345,">90%","South America","Brazil"
"861","CHIKV/Homo_sapiens/Brazil/2016/172","Chikungunya virus","KY704942","11297","-N/A-","04/16/2016",2016-04-16,"Human","Homo sapiens","Brazil","genomic RNA",11297,0.941416666666667,">90%","South America","Brazil"
"862","CHIKV/Homo_sapiens/Brazil/2016/188","Chikungunya virus","KY704946","11121","-N/A-","04/17/2016",2016-04-17,"Human","Homo sapiens","Brazil","genomic RNA",11121,0.92675,">90%","South America","Brazil"
"863","CHIKV/Homo_sapiens/Brazil/2016/166","Chikungunya virus","KY704939","11211","-N/A-","04/17/2016",2016-04-17,"Human","Homo sapiens","Brazil","genomic RNA",11211,0.93425,">90%","South America","Brazil"
"864","CHIKV/Homo_sapiens/Brazil/2016/191","Chikungunya virus","KY704948","11212","-N/A-","04/19/2016",2016-04-19,"Human","Homo sapiens","Brazil","genomic RNA",11212,0.934333333333333,">90%","South America","Brazil"
"865","CHIKV/Homo_sapiens/Brazil/2016/178","Chikungunya virus","KY704944","11078","-N/A-","04/19/2016",2016-04-19,"Human","Homo sapiens","Brazil","genomic RNA",11078,0.923166666666667,">90%","South America","Brazil"
"866","CHIKV/Homo_sapiens/Brazil/2016/175","Chikungunya virus","KY704943","11116","-N/A-","04/19/2016",2016-04-19,"Human","Homo sapiens","Brazil","genomic RNA",11116,0.926333333333333,">90%","South America","Brazil"
"867","CHIKV/Homo_sapiens/Brazil/2016/164","Chikungunya virus","KY704938","10945","-N/A-","04/19/2016",2016-04-19,"Human","Homo sapiens","Brazil","genomic RNA",10945,0.912083333333333,">90%","South America","Brazil"
"868","RJ105","Chikungunya virus","MK244639","10713","-N/A-","04/19/2016",2016-04-19,"Human","Homo sapiens","Brazil","genomic DNA",10713,0.89275,"50-90%","South America","Brazil"
"869","RJ83","Chikungunya virus","MK244634","10529","-N/A-","04/27/2016",2016-04-27,"Human","Homo sapiens","Brazil","genomic DNA",10529,0.877416666666667,"50-90%","South America","Brazil"
"870","SHCV30/BR/RJ/2016","Chikungunya virus","OM128438","10770","-N/A-","04/29/2016",2016-04-29,"Human","Homo sapiens","Brazil","genomic RNA",10770,0.8975,"50-90%","South America","Brazil"
"871","RJ94","Chikungunya virus","MK244636","10713","-N/A-","05/02/2016",2016-05-02,"Human","Homo sapiens","Brazil","genomic DNA",10713,0.89275,"50-90%","South America","Brazil"
"872","RJ95","Chikungunya virus","MK244633","10713","-N/A-","05/06/2016",2016-05-06,"Human","Homo sapiens","Brazil","genomic DNA",10713,0.89275,"50-90%","South America","Brazil"
"873","027_16_S43","Chikungunya virus","MH423797","11562","-N/A-","05/07/2016",2016-05-07,"Human","Homo sapiens","Kenya","genomic RNA",11562,0.9635,">90%","Africa","Eastern Africa"
"874","028_16_S54","Chikungunya virus","MH423807","7052","-N/A-","05/07/2016",2016-05-07,"Human","Homo sapiens","Kenya","genomic RNA",7052,0.587666666666667,"50-90%","Africa","Eastern Africa"
"875","031_16_S65","Chikungunya virus","MH423798","11513","-N/A-","05/08/2016",2016-05-08,"Human","Homo sapiens","Kenya","genomic RNA",11513,0.959416666666667,">90%","Africa","Eastern Africa"
"876","032_16_S73","Chikungunya virus","MH423808","7104","-N/A-","05/08/2016",2016-05-08,"Human","Homo sapiens","Kenya","genomic RNA",7104,0.592,"50-90%","Africa","Eastern Africa"
"877","RJ96","Chikungunya virus","MK244637","10529","-N/A-","05/10/2016",2016-05-10,"Human","Homo sapiens","Brazil","genomic DNA",10529,0.877416666666667,"50-90%","South America","Brazil"
"878","CHIKV/Hu/Angola/NIID54/2016","Chikungunya virus","LC259094","11825","-N/A-","05/11/2016",2016-05-11,"Human","Homo sapiens","Angola","genomic RNA",11825,0.985416666666667,">90%","Africa","Southern Africa"
"879","CHIKV/Aedes albopictus/Haiti-1/2016","Chikungunya virus","MG000876","11833","-N/A-","05/17/2016",2016-05-17,"Mosquito","Aedes albopictus","Haiti","genomic RNA",11833,0.986083333333333,">90%","South America","Rest Central America"
"880","057_16_S15","Chikungunya virus","MH423799","11535","-N/A-","05/31/2016",2016-05-31,"Human","Homo sapiens","Kenya","genomic RNA",11535,0.96125,">90%","Africa","Eastern Africa"
"881","058_16_S33","Chikungunya virus","MH423800","11472","-N/A-","05/31/2016",2016-05-31,"Human","Homo sapiens","Kenya","genomic RNA",11472,0.956,">90%","Africa","Eastern Africa"
"882","063_16_S44","Chikungunya virus","MH423801","11528","-N/A-","05/31/2016",2016-05-31,"Human","Homo sapiens","Kenya","genomic RNA",11528,0.960666666666667,">90%","Africa","Eastern Africa"
"883","068_16_S55","Chikungunya virus","MH423802","11572","-N/A-","05/31/2016",2016-05-31,"Human","Homo sapiens","Kenya","genomic RNA",11572,0.964333333333333,">90%","Africa","Eastern Africa"
"884","086_16_S25","Chikungunya virus","MH423803","11547","-N/A-","05/31/2016",2016-05-31,"Human","Homo sapiens","Kenya","genomic RNA",11547,0.96225,">90%","Africa","Eastern Africa"
"885","069_16_S66","Chikungunya virus","MH423809","6762","-N/A-","05/31/2016",2016-05-31,"Human","Homo sapiens","Kenya","genomic RNA",6762,0.5635,"50-90%","Africa","Eastern Africa"
"886","082_16_S16","Chikungunya virus","MH423810","10718","-N/A-","05/31/2016",2016-05-31,"Human","Homo sapiens","Kenya","genomic RNA",10718,0.893166666666667,"50-90%","Africa","Eastern Africa"
"887","087_16_S34","Chikungunya virus","MH423804","11530","-N/A-","06/01/2016",2016-06-01,"Human","Homo sapiens","Kenya","genomic RNA",11530,0.960833333333333,">90%","Africa","Eastern Africa"
"888","100_16_S56","Chikungunya virus","MH423805","11515","-N/A-","06/01/2016",2016-06-01,"Human","Homo sapiens","Kenya","genomic RNA",11515,0.959583333333333,">90%","Africa","Eastern Africa"
"889","106_16_S75","Chikungunya virus","MH423806","11443","-N/A-","06/01/2016",2016-06-01,"Human","Homo sapiens","Kenya","genomic RNA",11443,0.953583333333333,">90%","Africa","Eastern Africa"
"890","CHIKV/Homo_sapiens/Brazil/2016/35AP","Chikungunya virus","KY704955","11804","-N/A-","06/17/2016",2016-06-17,"Human","Homo sapiens","Brazil","genomic RNA",11804,0.983666666666667,">90%","South America","Brazil"
"891","CHIKV/Homo_sapiens/Brazil/2016/19AP","Chikungunya virus","KY704954","11804","-N/A-","06/20/2016",2016-06-20,"Human","Homo sapiens","Brazil","genomic RNA",11804,0.983666666666667,">90%","South America","Brazil"
"892","CHIKV/Culex quinquefasciatus/Haiti-1/2016","Chikungunya virus","MG000875","11806","-N/A-","06/27/2016",2016-06-27,"Mosquito","Culex quinquefasciatus","Haiti","genomic RNA",11806,0.983833333333333,">90%","South America","Rest Central America"
"893","Shivane CHIK2016","Chikungunya virus","MG137428","11780","-N/A-","06/29/2016",2016-06-29,"Human","Homo sapiens","India","genomic RNA",11780,0.981666666666667,">90%","Asia","India+"
"894","hk01","Chikungunya virus","MF503628","11656","-N/A-","08/26/2016",2016-08-26,"Human","Homo sapiens","Hong Kong S.A.R.","genomic RNA",11656,0.971333333333333,">90%","Asia","Korea"
"895","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_5_I","Chikungunya virus","MK473625","11708","-N/A-","08/26/2016",2016-08-26,"Human","Homo sapiens","India","genomic RNA",11708,0.975666666666667,">90%","Asia","India+"
"896","119067","Chikungunya virus","KY057363","11834","-N/A-","08/28/2016",2016-08-28,"Human","Homo sapiens","India","genomic RNA",11834,0.986166666666667,">90%","Asia","India+"
"897","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_1_I","Chikungunya virus","MK473621","11779","-N/A-","09/02/2016",2016-09-02,"Human","Homo sapiens","India","genomic RNA",11779,0.981583333333333,">90%","Asia","India+"
"898","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_1_TC","Chikungunya virus","MK473635","11642","-N/A-","09/02/2016",2016-09-02,"Human","Homo sapiens","India","genomic RNA",11642,0.970166666666667,">90%","Asia","India+"
"899","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_11_I","Chikungunya virus","MK473631","11279","-N/A-","09/11/2016",2016-09-11,"Human","Homo sapiens","India","genomic RNA",11279,0.939916666666667,">90%","Asia","India+"
"900","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_2_I","Chikungunya virus","MK473622","11720","-N/A-","09/13/2016",2016-09-13,"Human","Homo sapiens","India","genomic RNA",11720,0.976666666666667,">90%","Asia","India+"
"901","hk02","Chikungunya virus","MF499120","11733","-N/A-","09/15/2016",2016-09-15,"Human","Homo sapiens","Hong Kong S.A.R.","genomic RNA",11733,0.97775,">90%","Asia","Korea"
"902","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_12_I","Chikungunya virus","MK473632","11382","-N/A-","09/17/2016",2016-09-17,"Human","Homo sapiens","India","genomic RNA",11382,0.9485,">90%","Asia","India+"
"903","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_3_I","Chikungunya virus","MK473623","11684","-N/A-","09/20/2016",2016-09-20,"Human","Homo sapiens","India","genomic RNA",11684,0.973666666666667,">90%","Asia","India+"
"904","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_3_1D2","Chikungunya virus","MK473636","11794","-N/A-","09/20/2016",2016-09-20,"Human","Homo sapiens","India","genomic RNA",11794,0.982833333333333,">90%","Asia","India+"
"905","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_3_R","Chikungunya virus","MK473637","11680","-N/A-","09/20/2016",2016-09-20,"Human","Homo sapiens","India","genomic RNA",11680,0.973333333333333,">90%","Asia","India+"
"906","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_3_TC","Chikungunya virus","MK473638","11798","-N/A-","09/20/2016",2016-09-20,"Human","Homo sapiens","India","genomic RNA",11798,0.983166666666667,">90%","Asia","India+"
"907","JHCK280","Chikungunya virus","MK518340","11397","-N/A-","09/28/2016",2016-09-28,"Human","Homo sapiens","India","genomic RNA",11397,0.94975,">90%","Asia","India+"
"908","JHCK300","Chikungunya virus","MK551552","11405","-N/A-","09/30/2016",2016-09-30,"Human","Homo sapiens","India","genomic RNA",11405,0.950416666666667,">90%","Asia","India+"
"909","JHCK308","Chikungunya virus","MK551553","11409","-N/A-","10/03/2016",2016-10-03,"Human","Homo sapiens","India","genomic RNA",11409,0.95075,">90%","Asia","India+"
"910","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_6_I","Chikungunya virus","MK473626","11637","-N/A-","10/06/2016",2016-10-06,"Human","Homo sapiens","India","genomic RNA",11637,0.96975,">90%","Asia","India+"
"911","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_8_I","Chikungunya virus","MK473628","11658","-N/A-","10/13/2016",2016-10-13,"Human","Homo sapiens","India","genomic RNA",11658,0.9715,">90%","Asia","India+"
"912","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_9_I","Chikungunya virus","MK473629","11331","-N/A-","10/18/2016",2016-10-18,"Human","Homo sapiens","India","genomic RNA",11331,0.94425,">90%","Asia","India+"
"913","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_9_TC","Chikungunya virus","MK473640","11826","-N/A-","10/18/2016",2016-10-18,"Human","Homo sapiens","India","genomic RNA",11826,0.9855,">90%","Asia","India+"
"914","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_13_I","Chikungunya virus","MK473633","10975","-N/A-","10/19/2016",2016-10-19,"Human","Homo sapiens","India","genomic RNA",10975,0.914583333333333,">90%","Asia","India+"
"915","CAM/2016/Yaounde","Chikungunya virus","MT666072","11562","-N/A-","10/20/2016",2016-10-20,"Human","Homo sapiens","Cameroon","genomic RNA",11562,0.9635,">90%","Africa","Western Africa"
"916","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_4_I","Chikungunya virus","MK473624","11482","-N/A-","10/23/2016",2016-10-23,"Human","Homo sapiens","India","genomic RNA",11482,0.956833333333333,">90%","Asia","India+"
"917","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_7_I","Chikungunya virus","MK473627","11764","-N/A-","10/23/2016",2016-10-23,"Human","Homo sapiens","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"918","CHIKV/H.sapiens-wt/UK/2016/PHECHIKV_4_TC","Chikungunya virus","MK473639","11131","-N/A-","10/23/2016",2016-10-23,"Human","Homo sapiens","India","genomic RNA",11131,0.927583333333333,">90%","Asia","India+"
"919","CHIKV/IDN_Jambi_101/2016","Chikungunya virus","OK655884","11849","-N/A-","11/21/2016",2016-11-21,"Human","Homo sapiens","Indonesia","genomic RNA",11849,0.987416666666667,">90%","Asia","Indonesia+"
"920","CHIKV/IDN_Jambi_112/2016","Chikungunya virus","OK655883","11772","-N/A-","11/24/2016",2016-11-24,"Human","Homo sapiens","Indonesia","genomic RNA",11772,0.981,">90%","Asia","Indonesia+"
"921","CHIKV/IDN_Jambi_129/2016","Chikungunya virus","OK655882","7515","-N/A-","12/02/2016",2016-12-02,"Human","Homo sapiens","Indonesia","genomic RNA",7515,0.62625,"50-90%","Asia","Indonesia+"
"922","TBN-003","Chikungunya virus","MT591104","11158","-N/A-","42736",2017-01-01,"Human","Homo sapiens","Indonesia","genomic RNA",11158,0.929833333333333,">90%","Asia","Indonesia+"
"923","CHIKV/ITA/Lazio-INMI1-2017","Chikungunya virus","MG049915","11604","-N/A-","42736",2017-01-01,"Human","Homo sapiens","Italy","genomic RNA",11604,0.967,">90%","Europe","Western Europe"
"924","Bangladesh 2017","Chikungunya virus","MF773566","11812","-N/A-","42736",2017-01-01,"Human","Homo sapiens","Bangladesh","genomic RNA",11812,0.984333333333333,">90%","Asia","India+"
"925","Pakistan-03","Chikungunya virus","MF740874","11237","-N/A-","42736",2017-01-01,"Human","Homo sapiens","Pakistan","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"926","CHIKV/ITA/Lazio-INMI2-2017","Chikungunya virus","MH507158","11467","-N/A-","42736",2017-01-01,"Human","Homo sapiens","Italy","genomic RNA",11467,0.955583333333333,">90%","Europe","Western Europe"
"927","BH55","Chikungunya virus","ON023498","10829","-N/A-","01/02/2017",2017-01-02,"Human","Homo sapiens; age=9; male","Brazil","genomic RNA",10829,0.902416666666667,">90%","South America","Brazil"
"928","MT01","Chikungunya virus","MH823663","11811","-N/A-","01/05/2017",2017-01-05,"Human","Homo sapiens","Brazil","genomic RNA",11811,0.98425,">90%","South America","Brazil"
"929","MT06","Chikungunya virus","MH823668","11811","-N/A-","01/05/2017",2017-01-05,"Human","Homo sapiens","Brazil","genomic RNA",11811,0.98425,">90%","South America","Brazil"
"930","BeAr843521","Chikungunya virus","MT526900","11828","-N/A-","01/24/2017",2017-01-24,"Mosquito","Aedes aegypti","Brazil","genomic RNA",11828,0.985666666666667,">90%","South America","Brazil"
"931","BeAr843523","Chikungunya virus","MT526901","11790","-N/A-","01/25/2017",2017-01-25,"Mosquito","Aedes aegypti","Brazil","genomic RNA",11790,0.9825,">90%","South America","Brazil"
"932","BeAr843528","Chikungunya virus","MT526902","11821","-N/A-","01/25/2017",2017-01-25,"Mosquito","Culex quinquefasciatus","Brazil","genomic RNA",11821,0.985083333333333,">90%","South America","Brazil"
"933","BeAr843529","Chikungunya virus","MT526903","11506","-N/A-","01/26/2017",2017-01-26,"Mosquito","Culex quinquefasciatus","Brazil","genomic RNA",11506,0.958833333333333,">90%","South America","Brazil"
"934","BeAr843544","Chikungunya virus","MT526904","11826","-N/A-","01/26/2017",2017-01-26,"Mosquito","Aedes aegypti","Brazil","genomic RNA",11826,0.9855,">90%","South America","Brazil"
"935","TBN-017","Chikungunya virus","MT591090","11158","-N/A-","02/2017",2017-02-01,"Human","Homo sapiens","Indonesia","genomic RNA",11158,0.929833333333333,">90%","Asia","Indonesia+"
"936","CHIKV/Human/Brazil/2017/AMA350","Chikungunya virus","MK121897","9379","-N/A-","02/20/2017",2017-02-20,"Human","Homo sapiens","Brazil","genomic RNA",9379,0.781583333333333,"50-90%","South America","Brazil"
"937","CHIKV/Human/Brazil/2017/AMA352","Chikungunya virus","MK121898","10135","-N/A-","02/22/2017",2017-02-22,"Human","Homo sapiens","Brazil","genomic RNA",10135,0.844583333333333,"50-90%","South America","Brazil"
"938","CHIKV/Human/Brazil/2017/AMA379","Chikungunya virus","MK121906","11171","-N/A-","02/27/2017",2017-02-27,"Human","Homo sapiens","Brazil","genomic RNA",11171,0.930916666666667,">90%","South America","Brazil"
"939","CHIKV/Human/Brazil/2017/AMA381","Chikungunya virus","MK121907","11181","-N/A-","02/27/2017",2017-02-27,"Human","Homo sapiens","Brazil","genomic RNA",11181,0.93175,">90%","South America","Brazil"
"940","MT04","Chikungunya virus","MH823666","11811","-N/A-","03/01/2017",2017-03-01,"Human","Homo sapiens","Brazil","genomic RNA",11811,0.98425,">90%","South America","Brazil"
"941","MT05","Chikungunya virus","MH823667","11811","-N/A-","03/01/2017",2017-03-01,"Human","Homo sapiens","Brazil","genomic RNA",11811,0.98425,">90%","South America","Brazil"
"942","TBN-103","Chikungunya virus","MT591091","11158","-N/A-","03/2017",2017-03-01,"Human","Homo sapiens","Indonesia","genomic RNA",11158,0.929833333333333,">90%","Asia","Indonesia+"
"943","CHIKV/Human/Brazil/2017/AMA369","Chikungunya virus","MK121904","11171","-N/A-","03/02/2017",2017-03-02,"Human","Homo sapiens","Brazil","genomic RNA",11171,0.930916666666667,">90%","South America","Brazil"
"944","CHIKV/Human/Brazil/2017/AMA374","Chikungunya virus","MK121905","10429","-N/A-","03/02/2017",2017-03-02,"Human","Homo sapiens","Brazil","genomic RNA",10429,0.869083333333333,"50-90%","South America","Brazil"
"945","CHIKV/Human/Brazil/2017/AMA346","Chikungunya virus","MK121896","10135","-N/A-","03/03/2017",2017-03-03,"Human","Homo sapiens","Brazil","genomic RNA",10135,0.844583333333333,"50-90%","South America","Brazil"
